QKEY,INTERVIEW_START_W142,INTERVIEW_END_W142,DEVICE_TYPE_W142,LANG_W142,FORM_W142,XMARITAL_W142,USBEST_COLLEGE_DK_W142,USBEST_ENTERTAINMENT_DK_W142,USBEST_SLIVING_DK_W142,USBEST_MILITARY_DK_W142,USBEST_MEDACHIEVE_DK_W142,USBEST_POLSYSTEM_DK_W142,USBEST_SCIACHIEVE_DK_W142,USBEST_STEMEDUK12_DK_W142,SNSRATE_W142,TECHPOW_W142,TC5_W142,TC6b_W142,SM7_W142,EMPLSIT_W142,FACTWELL_a_W142,FACTWELL_b_W142,FACTWELL_c_W142,FACTWELL_d_W142,FACTWELL_e_W142,FACTWELL_f_W142,FACTWELL_g_W142,FACTWELL_h_W142,FACTWELL_i_W142,FACTWELL_j_W142,FACTWELL_k_W142,TALKMH_a_W142,TALKMH_b_W142,TALKMH_c_W142,TALKMH_d_W142,TALKMH_e_W142,TALKMH_f_W142,TALKMH_g_W142,FACTWGT_a_W142,FACTWGT_b_W142,FACTWGT_c_W142,FACTWGT_d_W142,FACTWGT_e_W142,WILLPWR_W142,OZHEARD_W142,OZUSE_a_W142,OZUSE_b_W142,REDUCOBES_W142,COVIDTHREAT_a_W142,COVIDTHREAT_b_W142,COVIDTHREAT_c_W142,COVIDTHREAT_d_W142,COVID_INFECT_a_W142,COVID_INFECT_b_W142,HRDLONGCOV_W142,LONGCOVID_W142,NEWCOVVAX_W142,USEAI_W142,GENAICRED_W142,AICOPYRGHT_a_W142,AICOPYRGHT_b_W142,AICOPYRGHT_c_W142,AICOPYRGHT_d_W142,AICOPYRGHT_e_W142,AICOPYRGHT_f_W142,AICOPYRGHT_g_W142,CRYPT1_W142,CRYPT2_W142,CRYPTNOW_W142,CRYPTSEC_W142,CRYPT4_W142,GPT1_W142,GPTUSE_W142,GPT2_a_W142,GPT2_b_W142,GPT2_c_W142,GPTPOL1_W142,GPTPOL2_W142,SCI_FLU1_W142,SCI_FLU2_W142,SELFWGT_W142,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTENDPER,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W142
100314,2024-02-09T16:47:46Z,2024-02-10T13:52:20Z,2,1,2,1,,1,2,1,2,5,,3,3,99,1,3,1,5,3,,,,,,2,2,4,2,2,3,2,2,4,,,3,3,1,1,1,1,2,3,,,,,,,,2,2,,,2,5,3,,,,1,1,3,1,1,2,,5,,3,,,,,,,1,1,2,2,2,3,3,4,1,2,3,2,,1,1,1,1,1,1,2,1,5,1,,1,2,1,7,3,2,1,2,0.41557269183166723
100363,2024-02-07T18:32:59Z,2024-02-07T18:38:03Z,2,1,1,1,3,,2,1,4,2,2,,1,1,1,1,2,2,1,3,1,3,1,2,,,,,,2,1,1,1,,2,,2,1,1,2,2,2,2,2,2,4,2,2,3,2,,,2,1,2,2,2,1,1,1,,,,1,1,1,1,3,2,2,2,,,,,3,,,3,1,1,2,2,2,2,1,6,2,,1,1,1,1,1,2,2,2,4,2,,2,4,1,9,4,2,1,2,0.4965045546404314
100598,2024-02-09T12:08:03Z,2024-02-09T12:19:31Z,1,1,1,1,3,,3,1,3,3,2,,3,3,3,1,3,1,2,1,2,1,2,2,,,,,,2,2,2,2,,3,,3,1,1,2,3,1,2,1,2,3,2,3,2,3,,,2,3,2,2,3,2,1,1,,,,1,2,2,,4,,2,2,,,,,4,,,2,1,4,9,2,3,2,1,6,2,,1,1,1,1,1,1,2,1,4,1,,1,2,1,9,3,2,1,3,0.34332276199209866
100637,2024-02-08T05:08:54Z,2024-02-08T05:14:07Z,1,1,2,1,,1,2,2,3,2,,1,2,1,1,1,1,5,4,,,,,,2,2,5,3,2,2,1,2,2,,,2,1,1,3,3,5,2,99,,,,,,,,4,4,,,2,5,1,,,,2,3,3,3,2,2,,5,,2,,1,1,,2,4,2,3,2,1,3,5,3,4,2,2,4,2,,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,2,2,1,0.6922001240268774
101224,2024-02-07T20:08:49Z,2024-02-07T20:18:33Z,2,1,1,1,3,,2,1,3,3,3,,2,1,1,1,1,2,1,3,3,2,3,1,,,,,,3,2,3,3,,3,,4,4,3,2,4,2,1,1,1,3,2,2,2,2,,,2,3,2,5,3,3,3,3,,,,3,3,,,,,3,,,,,,,,,2,1,3,5,3,4,1,2,3,2,,1,1,1,1,1,1,1,1,1,1,,1,1,1,6,2,4,1,2,0.37567552655676284
101437,2024-02-07T17:21:47Z,2024-02-07T17:32:51Z,1,1,2,3,,3,6,2,3,2,,4,3,1,2,1,1,4,5,,,,,,1,2,3,2,2,2,,2,2,,,2,4,1,2,2,2,1,2,2,2,4,,,,,4,4,,,2,1,2,,,,1,1,1,1,1,2,,4,,2,,2,2,,2,6,2,3,3,2,2,4,3,4,2,2,4,2,,1,1,1,1,3,1,1,1,2,1,,1,1,1,2,2,2,2,2,0.6135033557638763
101493,2024-02-07T17:16:46Z,2024-02-07T17:25:55Z,2,1,1,4,1,,1,1,1,4,1,,2,2,1,1,1,5,1,2,3,2,1,2,,,,,,1,,1,3,,3,,3,1,2,1,2,1,3,,,,2,3,1,2,,,2,1,1,1,2,1,1,1,,,,1,2,2,,4,,2,2,,,,,4,,,3,1,4,9,3,4,1,2,3,1,1,1,1,3,1,4,12,,3,6,1,,1,1,1,8,2,1,2,3,0.2618577530689701
102198,2024-02-09T12:50:31Z,2024-02-09T12:56:06Z,2,1,2,6,,1,2,1,2,3,,3,2,1,1,1,1,3,1,,,,,,3,2,2,3,2,1,,2,1,,,3,3,1,2,2,2,2,1,3,2,4,,,,,4,4,,,2,2,2,,,,1,3,3,2,2,2,,4,,2,,1,2,,2,4,1,1,2,1,1,2,2,1,2,1,6,2,,1,1,1,1,6,1,1,1,2,1,,1,1,1,1,2,1,1,1,0.8911073315665262
103060,2024-02-08T19:22:20Z,2024-02-10T21:06:05Z,3,1,1,1,1,,6,1,6,6,2,,2,99,1,1,1,5,3,1,1,2,1,1,,,,,,2,3,2,2,,5,,3,1,1,1,1,2,1,2,2,5,2,1,2,3,,,2,1,1,1,3,3,3,3,,,,3,2,2,,5,,3,,,,,,,,,1,1,3,5,2,4,2,2,4,2,,1,1,1,1,1,12,,3,6,2,,2,4,1,8,4,2,2,2,0.43450940451643427
103379,2024-02-08T11:35:23Z,2024-02-08T11:47:31Z,1,1,1,1,4,,2,4,2,6,3,,2,1,1,1,1,2,2,3,1,2,3,1,,,,,,2,1,3,2,,4,,1,1,2,2,2,1,2,3,1,4,2,2,2,2,,,2,2,2,5,2,1,1,1,,,,1,2,2,,5,,3,,,,,,,,,2,1,3,5,2,4,1,2,3,2,,1,1,1,1,1,1,1,1,2,1,,1,1,1,9,1,5,2,3,1.350959580101705
