"","ozempic_opinion","income_score","genetics","OZread","OZUSE_a_W142","partylean","gender","genetics_collapsed","opinion_collapsed"
"1","Not too much","Middle Income","Quite a bit","A little","Not sure","Democrat","Male","Quite a bit","Not too much"
"2","Not too much","Upper Income","A great deal","A lot","Yes","Republican","Female","A great deal","Not too much"
"3","Quite a bit","Lower Income","A great deal","A lot","Yes","Democrat","Female","A great deal","A lot"
"4","Nothing at all","Middle Income","Some","A little","Not sure","Republican","Female","Some","Nothing at all"
"5","Not too much","Middle Income","Quite a bit","A lot","No","Republican","Male","Quite a bit","Not too much"
"6","Some","Upper Income","Some","A little","Yes","Republican","Male","Some","Some"
"7","Quite a bit","Upper Income","Some","A little","No","Republican","Female","Some","A lot"
"8","Not too much","Upper Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Not too much"
"9","Not too much","Lower Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","Not too much"
"10","Quite a bit","Lower Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","A lot"
"11","Some","Middle Income","A great deal","A little","Yes","Democrat","Female","A great deal","Some"
"12","Some","Middle Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","Some"
"13","Not too much","Upper Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Not too much"
"14","Not too much","Upper Income","Some","A lot","Not sure","Democrat","Male","Some","Not too much"
"15","Some","Upper Income","Some","A lot","Yes","Democrat","Female","Some","Some"
"16","Some","Lower Income","Some","A lot","No","Republican","Male","Some","Some"
"17","Not too much","Lower Income","Some","A little","No","Republican","Female","Some","Not too much"
"18","Quite a bit","Lower Income","A great deal","A lot","Yes","Republican","Female","A great deal","A lot"
"19","Some","Upper Income","Quite a bit","A little","No","Democrat","Male","Quite a bit","Some"
"20","Nothing at all","Middle Income","Some","A lot","Not sure","Republican","Male","Some","Nothing at all"
"21","Not too much","Upper Income","A great deal","A little","No","Democrat","Female","A great deal","Not too much"
"22","Quite a bit","Lower Income","Quite a bit","A little","Yes","Republican","Female","Quite a bit","A lot"
"23","Not too much","Upper Income","Some","A little","Yes","Republican","Male","Some","Not too much"
"24","Not too much","Middle Income","Some","A little","Yes","Republican","Male","Some","Not too much"
"25","Some","Upper Income","Quite a bit","A lot","Not sure","Democrat","Female","Quite a bit","Some"
"26","Not too much","Middle Income","Some","A little","No","Republican","Female","Some","Not too much"
"27","Not too much","Upper Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","Not too much"
"28","Some","Middle Income","A great deal","A little","Yes","Republican","Female","A great deal","Some"
"29","Not too much","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Not too much"
"30","Some","Middle Income","Quite a bit","A little","No","Republican","Male","Quite a bit","Some"
"31","Some","Middle Income","Some","A lot","Yes","Republican","Female","Some","Some"
"32","Not too much","Upper Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Not too much"
"33","Quite a bit","Middle Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","A lot"
"34","Not too much","Upper Income","A great deal","A lot","No","Republican","Male","A great deal","Not too much"
"35","Not too much","Lower Income","Some","A little","No","Republican","Male","Some","Not too much"
"36","Nothing at all","Middle Income","Some","A little","No","Democrat","Male","Some","Nothing at all"
"37","Some","Upper Income","A great deal","A little","Yes","Democrat","Male","A great deal","Some"
"38","Some","Lower Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","Some"
"39","Nothing at all","Middle Income","Some","A little","Not sure","Republican","Male","Some","Nothing at all"
"40","A great deal","Upper Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","A lot"
"41","Some","Middle Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","Some"
"42","Not too much","Upper Income","Some","A little","Yes","Republican","Male","Some","Not too much"
"43","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"44","Not too much","Middle Income","Some","A lot","Yes","Republican","Male","Some","Not too much"
"45","Some","Middle Income","Some","A little","Yes","Republican","Male","Some","Some"
"46","Some","Middle Income","Quite a bit","A little","Not sure","Republican","Male","Quite a bit","Some"
"47","Some","Middle Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","Some"
"48","Quite a bit","Upper Income","Some","A little","Yes","Democrat","Female","Some","A lot"
"49","Not too much","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Not too much"
"50","Some","Middle Income","Some","A little","Yes","Republican","Female","Some","Some"
"51","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"52","Some","Lower Income","Some","A little","No","Republican","Female","Some","Some"
"53","Not too much","Upper Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","Not too much"
"54","Some","Upper Income","Some","A little","Yes","Democrat","Female","Some","Some"
"55","Not too much","Middle Income","Quite a bit","A little","No","Republican","Male","Quite a bit","Not too much"
"56","Not too much","Middle Income","Some","A lot","Yes","Democrat","Male","Some","Not too much"
"57","Some","Middle Income","Some","A lot","Yes","Republican","Male","Some","Some"
"58","Nothing at all","Middle Income","Quite a bit","A little","Not sure","Republican","Male","Quite a bit","Nothing at all"
"59","Quite a bit","Upper Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","A lot"
"60","Some","Middle Income","Some","A little","Yes","Democrat","Female","Some","Some"
"61","Nothing at all","Upper Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Nothing at all"
"62","Not too much","Upper Income","A great deal","A lot","Not sure","Republican","Female","A great deal","Not too much"
"63","Some","Middle Income","Some","A lot","Yes","Republican","Female","Some","Some"
"64","Not too much","Middle Income","Quite a bit","A little","Not sure","Republican","Female","Quite a bit","Not too much"
"65","Quite a bit","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","A lot"
"66","Not too much","Lower Income","Some","A little","Not sure","Republican","Female","Some","Not too much"
"67","Not too much","Middle Income","Quite a bit","A little","No","Republican","Female","Quite a bit","Not too much"
"68","Nothing at all","Upper Income","Quite a bit","A lot","No","Republican","Male","Quite a bit","Nothing at all"
"69","Nothing at all","Lower Income","Some","A lot","Not sure","Republican","Female","Some","Nothing at all"
"70","Nothing at all","Upper Income","Quite a bit","A lot","Not sure","Democrat","Male","Quite a bit","Nothing at all"
"71","Not too much","Middle Income","Some","A lot","No","Democrat","Female","Some","Not too much"
"72","Some","Middle Income","Some","A lot","Not sure","Democrat","Female","Some","Some"
"73","Not too much","Middle Income","Some","A little","No","Republican","Male","Some","Not too much"
"74","Not too much","Middle Income","Quite a bit","A little","Not sure","Republican","Female","Quite a bit","Not too much"
"75","Some","Upper Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","Some"
"76","A great deal","Upper Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","A lot"
"77","A great deal","Lower Income","A great deal","A lot","Yes","Democrat","Female","A great deal","A lot"
"78","Quite a bit","Middle Income","A great deal","A lot","Yes","Democrat","Male","A great deal","A lot"
"79","Not too much","Lower Income","Quite a bit","A little","Not sure","Republican","Female","Quite a bit","Not too much"
"80","Not too much","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Not too much"
"81","Not too much","Upper Income","Some","A lot","Yes","Democrat","Female","Some","Not too much"
"82","Some","Middle Income","Some","A little","Yes","Democrat","Female","Some","Some"
"83","Quite a bit","Middle Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","A lot"
"84","Not too much","Middle Income","Some","A little","Not sure","Republican","Male","Some","Not too much"
"85","Not too much","Middle Income","Some","A little","Not sure","Republican","Female","Some","Not too much"
"86","Quite a bit","Middle Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","A lot"
"87","Quite a bit","Upper Income","A great deal","A little","Yes","Republican","Male","A great deal","A lot"
"88","Quite a bit","Upper Income","A great deal","A little","Yes","Republican","Male","A great deal","A lot"
"89","Some","Lower Income","Some","A lot","Not sure","Republican","Female","Some","Some"
"90","Some","Upper Income","Some","A little","Yes","Democrat","Female","Some","Some"
"91","Not too much","Middle Income","Some","A little","Yes","Republican","Male","Some","Not too much"
"92","Nothing at all","Middle Income","Some","A lot","Yes","Republican","Female","Some","Nothing at all"
"93","Not too much","Middle Income","Not too much","A little","Yes","Republican","Female","Low","Not too much"
"94","Not too much","Middle Income","Quite a bit","A little","Not sure","Republican","Male","Quite a bit","Not too much"
"95","Some","Middle Income","Some","A little","Not sure","Democrat","Female","Some","Some"
"96","Some","Upper Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"97","Not too much","Middle Income","Some","A little","Not sure","Republican","Male","Some","Not too much"
"98","Quite a bit","Upper Income","Some","A lot","Yes","Democrat","Male","Some","A lot"
"99","Some","Middle Income","Quite a bit","A little","No","Republican","Female","Quite a bit","Some"
"100","Not too much","Middle Income","Some","A little","No","Democrat","Male","Some","Not too much"
"101","Some","Middle Income","A great deal","A lot","Yes","Republican","Female","A great deal","Some"
"102","Some","Middle Income","Quite a bit","A little","No","Republican","Male","Quite a bit","Some"
"103","Nothing at all","Middle Income","Quite a bit","A little","No","Democrat","Male","Quite a bit","Nothing at all"
"104","Quite a bit","Middle Income","Some","A lot","Yes","Republican","Female","Some","A lot"
"105","Not too much","Middle Income","Some","A little","Yes","Democrat","Male","Some","Not too much"
"106","Some","Upper Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"107","Some","Upper Income","A great deal","A lot","Yes","Democrat","Female","A great deal","Some"
"108","Some","Middle Income","Some","A little","Yes","Republican","Female","Some","Some"
"109","Not too much","Middle Income","Some","A little","No","Republican","Female","Some","Not too much"
"110","Quite a bit","Middle Income","Some","A lot","Yes","Republican","Male","Some","A lot"
"111","Not too much","Upper Income","Some","A little","Not sure","Republican","Male","Some","Not too much"
"112","A great deal","Middle Income","A great deal","A little","Not sure","Republican","Male","A great deal","A lot"
"113","Some","Upper Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"114","Some","Upper Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","Some"
"115","Not too much","Upper Income","A great deal","A little","No","Democrat","Female","A great deal","Not too much"
"116","Some","Middle Income","A great deal","A lot","No","Republican","Male","A great deal","Some"
"117","Some","Middle Income","Some","A lot","Yes","Democrat","Male","Some","Some"
"118","Nothing at all","Middle Income","Quite a bit","A lot","Not sure","Republican","Female","Quite a bit","Nothing at all"
"119","Some","Middle Income","Some","A little","Yes","Republican","Male","Some","Some"
"120","Some","Middle Income","Some","A little","No","Republican","Female","Some","Some"
"121","Nothing at all","Upper Income","Some","A lot","Not sure","Republican","Male","Some","Nothing at all"
"122","Quite a bit","Lower Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","A lot"
"123","Not too much","Middle Income","Some","A little","No","Republican","Male","Some","Not too much"
"124","Not too much","Middle Income","Some","A little","No","Democrat","Male","Some","Not too much"
"125","Some","Lower Income","Some","A lot","Not sure","Democrat","Female","Some","Some"
"126","Some","Upper Income","Some","A little","Yes","Democrat","Female","Some","Some"
"127","Not too much","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Not too much"
"128","Not too much","Upper Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","Not too much"
"129","Some","Middle Income","Some","A little","Yes","Republican","Male","Some","Some"
"130","Not too much","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Not too much"
"131","Quite a bit","Middle Income","A great deal","A lot","Yes","Democrat","Male","A great deal","A lot"
"132","Nothing at all","Middle Income","Quite a bit","A little","No","Democrat","Male","Quite a bit","Nothing at all"
"133","Quite a bit","Upper Income","A great deal","A lot","Yes","Democrat","Female","A great deal","A lot"
